core_clause_id	master8_clause_id	clause_sha256
252	1524	1A28E997357559A69D81A1EAE31316EBDE556C56DADFD8646C6DCFF170A9FD43
253	1588	1F95037350EBD939765CFD582FACEE8911C457FF2663E952A2887B1FE141E764
254	1600	E8057EE5D34EC072C31D05CAC6A166CFB2D1B03CA0571D1614D170013887E030
255	1604	98797F419E9D9948CFD35C79154E0BE506628CBA85F6F9EE626C390C794C55A0
256	1618	DFFB5D5AC73F175C34ABF5BAF58C4BDA16543D5DAADA6538121C92A39CD87BAB
257	1719	B06983086432954EE4D55D9ABFAF1EFEDD2052B04A36BC65F15F96E9A0B87270
258	1724	BDA24F92B1F156A4344023E0237DA86ABC8AC8840391FE8D72C93D8F20B6606F
259	1725	AA6DD1601D7A2D05FB6BD7BB04F1A80BCC23E7FC5FF4B19202B1FC911BE2A95E
260	1738	7191A8AEE87C7F08B0FEFF297BE36FEC8EAAB1EC75B7567A5275BCCEB4768214
261	1749	785194EB87C2E3FB7A3D6AD35C7A0C8925F28A1EE5575B4E80AF2D2202625F8F
262	1754	DAFBC708CA810A8F0D8257A229929A6E0FA337B66349DC4930EFABD4EA84248C
263	1925	7DD69CE3A93AC7C2FF7FDC1E434004D09778DB92A39265FB50809F003D272C5C
264	1935	9416569AE9778303FDB2BC75ACAD720BB27C8A179E1C41F64AC367CD15607FA1
265	2038	284D2B672415ADB2BC26163A87D14B070D86FB03996AAFA57F0A50B0977942D4
266	2048	EAB8D6DFBEA11D57F1CCF137DA668015A1CE3B4F650294F134CDD146625E6675
267	2063	161108F6607F3930E53D9EBA8C94DC24455B087A79165A3E14A18EF395FEBE3A
268	2158	30787BB3E011E868FC729733F34C288A2DA7D468C8C4E3DD7E94F42F02D12741
269	2168	6A19EBD9CB3EB68CD11F404521B5B6DCBD6218C29132A95700A2C5123E800598
270	2187	5A74B5C6FE17E19007BFA2F92EC6257F58C8DA6EC57230FAB8A52127734DF3C3
271	2399	D434D79FCA972B0E35274A5FAF9E0188AB4DA100A6272EFBC1CC9FB8AB0C8BBA
272	2401	6F1DBEF9A356EC7DB44E0EF7E3E0AC118654C279041B9E36745A9863BC5AD707
273	2402	4A340CECC94ABF06473C336E6F5C30E2AA2E8598B3D7D7CB868175C587672BFF
274	2405	C0CFC68B89D0DBD754F46B5CC36B8C506AC5D7D5A053597B598122542A576487
275	2419	E9AB2C8E831369F6CAD1E40AAACA26FC306442FF1CDACCC3B08BBA63DB891D7B
276	2421	FB3E74488143E446EAA7CFEACA5A6C990C15B864521C7EF2FA66946BE11E5F68
277	2425	CDC62B02DD70CC02EE45DF5054FA9DBE379464C0FFE753355C8EC7C77A16005B
278	2427	58D55430F2B4F1B16B333DEE1BA3F7E92A54413A3C17526A147CF4ACB0D47283
279	2518	2CBA763DC7186677DA355134920714F8A950A5A22B9AEA6E5C59830301E0BF9F
280	2528	9F015910D6A28EB09CAED8BF97FCFC7613FAD26E259C9CC4B5A876E479682C2B
281	2761	878EAE5F320BB1B182A00EDFF3240A0DB9FCD2B686FCE27A3C1CFD5EC5B156A6
