core_clause_id	fodpo_clause_id	clause_sha256
219	87232	22819A57C4887D38C834C4AEB29AD8701C6CA6B15ED694B37E0FD44810A68457
220	87236	9E23174D8ACFF379FFE73B96C5B0A3862988CDA3CBFC93C9A6AA7D22ABBB848B
221	89801	96EABCAD812EFA7566BF9EE639C3919BEFB3FCB11031929C30B11D85F7B60958
222	90665	76EB973BC1E1E985CB72D020E231BF9899BFC442F3125D8ECD3214974F8680DC
223	92302	72973D9EF3DDCC820A630E7502ADCCADF3228EC0537140F75FF9E2C0DE3EF808
224	94464	C65530C7963D05D44C2188A6CE339817896B72477E3605D01F3C2F3DD661CF42
225	95392	DB0818E9B8445680A496FC36908F0F386F163346DDE800A4530C5529B8F4B7EA
226	97436	38DADF8AEDCFC85534998963F29E2BA2F331A1B3D1445B1EB0B09DCD0428CE5A
227	100001	983EEBC947DAA807445ED57576619F83993A0E1A6D815D4031E59F98D6655421
228	100865	FAAA171DD74FC2AEA6A12254CAEA6423EC7D02E0E18A91B88606DDF5DD5C83D1
229	123389	A9AD33850423522C72ED58FA512190CD2382EE79DF498AF555D62FB5B42193E6
230	123585	A990EE3843A899468B255BD67D4E4BE567613C2A678CE8DDDFF26ADE7BF4CC5B
231	123721	5DF8902AC7AEB8F3A2FFD8FB2CFC5FB55E732EAE598B0707D91281858D4F4109
232	123781	5F4A05CAD1DB2D170C4276AE0B25C55EF5E473C7CDE2E2F2E8EFD5FBD0630160
233	124123	DACB52B25E97F165105F7C5D397C343D0D1E3ABFA9F32243C3B0D529BED58B20
234	127358	449EAB32A6DDEF03D9023CE9AE3328944BABCB87139D8767C61D6310A12D1F2C
235	127452	E54DF6F2D4532979872B3BABA813FC4288E8CDEE3C7A594F0047A27B063FE0C4
236	127453	E1F8F93A89D905591AD56A6C35149AB4F66121F3CF75A32EB18E1FF83EAE3D7E
237	127743	62F374CEB3F46D7E94D1C4CE2555A488059F1DADE4875101995F7C4389B2A51C
238	127788	2E9105F0835D24872FCA867EF574BC2284B2D8641B2D1CD5D25E61ACA0D65A81
239	127790	61E4F46D4F58CBC18E6AAE5E08C9823BEFFD1032AE19DA570CD0CD72CB1113CB
240	128520	72A5C3F64CE237740AFE9E3D743692419B5245A88C986F460A4B9DCF59205857
241	128674	E868DF1F87A860762D2E5853885FB1C2C0EF0C36E1EDB1DFE7202FB443C80682
242	128831	189FA88B1961BA8D0ED0CCC0F657C075AA9BD8CB0CAAB5A88A2439158172E919
243	129250	9844925D68D964B47E0CBEF86588BD17CF622A15CA0659FF6844E5721B29CE21
244	133589	FC6F197E3183855F1981583AEB0B2355EF06E3D006D6E814CF524774623D4B65
245	133785	AEB9698CB3928752770C57B5BFB31FCDD576F9A97267982EC2BA58062C31405C
246	133921	1A2406AA41D13D013FB9A5392ECEC2A217A726941878DAA6728200654C087443
247	133981	CC9015891ED373B46526EC8107F0E96BD687C1804E921DE1CF0AF286DD5F9AEE
248	134323	FDC873014ACA2094675A2BBDD26E257093DBD1EA77C9C36F542238C51E31F095
249	136823	C0835A2AC3ECBCB3EB31193535C78F14859AC279771F72988C97D4E0024B23DC
250	137211	A6B9058544C60A5FCB73BFBBE57E0268DA4C5556B735FC7243E36A1A83CEA663
251	137558	E646BEA819992242329AFD6D07B137407E94D13D281F89EAE8746CDBE8010DE4
252	137559	E9DA9DC49BBF62C82918505B59BAA68BF0E733C1920E4507491342A6E18F3522
253	137652	B2F66AA1AE56CFCDF3694A4CC858D8480933B0A532667C0FE622923225867931
254	137653	D0C509C49DB4EF095642ACA6CF860406FA0C0691F7B3C89FDCA33AB21132B665
255	137941	180443AABA08ED0416DB91EF3F083A26B46F756172BD28383081FEEBD283AB3A
256	137943	40BD234E8E77E6D149A201EB8C9BA69F021780DA6498BD5F7BD3C0CF9541683A
257	137988	6833938CB4F2AF930C588064D9231DD1F303A5D1DFB65A8A24EA62698E2A3C92
